title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Inferno,https://www.palomitacas.com/pelicula/ficha/p207932,207932,7.0,7.0,03 de enero - 2026,2026-01-03
Ángeles y demonios,https://www.palomitacas.com/pelicula/ficha/p13448,13448,7.5,7.5,03 de enero - 2026,2026-01-03
"Robin Hood, príncipe de los ladrones",https://www.palomitacas.com/pelicula/ficha/p8367,8367,4.5,4.5,31 de diciembre - 2025,2025-12-31
El código Da Vinci,https://www.palomitacas.com/pelicula/ficha/p591,591,7.0,7.0,28 de diciembre - 2025,2025-12-28
La joven Jane Austen,https://www.palomitacas.com/pelicula/ficha/p2977,2977,6.5,6.5,27 de diciembre - 2025,2025-12-27
La vieja guardia,https://www.palomitacas.com/pelicula/ficha/p547016,547016,,,,
Charlie y la fábrica de chocolate,https://www.palomitacas.com/pelicula/ficha/p118,118,9.0,9.0,25 de diciembre - 2025,2025-12-25
"Larry Crowne, nunca es tarde",https://www.palomitacas.com/pelicula/ficha/p59861,59861,7.5,7.5,22 de diciembre - 2025,2025-12-22
Sin cobertura,https://www.palomitacas.com/pelicula/ficha/p1370124,1370124,6.0,6.0,21 de diciembre - 2025,2025-12-21
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,9.5,9.5,20 de diciembre - 2025,2026-01-03
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,9.5,9.5,20 de diciembre - 2025,2025-12-20
"Soñando, soñando... triunfé patinando",https://www.palomitacas.com/pelicula/ficha/p13374,13374,9.0,9.0,20 de diciembre - 2025,2025-12-20
¿Qué culpa tiene el niño?,https://www.palomitacas.com/pelicula/ficha/p369299,369299,9.0,9.0,15 de diciembre - 2025,2025-12-16
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,10.0,10.0,15 de diciembre - 2025,2025-12-15
Plan en familia,https://www.palomitacas.com/pelicula/ficha/p1029575,1029575,10.0,10.0,13 de diciembre - 2025,2025-12-13
Qué les pasa a los hombres,https://www.palomitacas.com/pelicula/ficha/p10184,10184,9.5,9.5,13 de diciembre - 2025,2025-12-13
Amores Compartidos,https://www.palomitacas.com/pelicula/ficha/p1337562,1337562,7.0,7.0,08 de diciembre - 2025,2025-12-08
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,5.0,5.0,06 de diciembre - 2025,2025-12-06
Ava,https://www.palomitacas.com/pelicula/ficha/p539885,539885,6.5,6.5,06 de diciembre - 2025,2025-12-06
G.I. Joe: la venganza,https://www.palomitacas.com/pelicula/ficha/p72559,72559,,,,
G.I. Joe,https://www.palomitacas.com/pelicula/ficha/p14869,14869,,,,
Trol 2,https://www.palomitacas.com/pelicula/ficha/p1180831,1180831,9.0,9.0,05 de diciembre - 2025,2025-12-05
Simone,https://www.palomitacas.com/pelicula/ficha/p9296,9296,10.0,10.0,01 de diciembre - 2025,2025-12-01
El encanto del champán,https://www.palomitacas.com/pelicula/ficha/p1323475,1323475,6.5,6.5,29 de noviembre - 2025,2025-11-29
El muro negro,https://www.palomitacas.com/pelicula/ficha/p1425045,1425045,7.5,7.5,29 de noviembre - 2025,2025-11-29
"Cariño, cuánto te odio",https://www.palomitacas.com/pelicula/ficha/p603661,603661,8.5,8.5,28 de noviembre - 2025,2025-11-28
Una Navidad ex-cepcional,https://www.palomitacas.com/pelicula/ficha/p1401318,1401318,6.5,6.5,22 de noviembre - 2025,2025-11-22
Jóvenes y brujas,https://www.palomitacas.com/pelicula/ficha/p9100,9100,9.0,9.0,22 de noviembre - 2025,2025-11-22
Fall,https://www.palomitacas.com/pelicula/ficha/p985939,985939,6.0,6.0,21 de noviembre - 2025,2025-11-21
En sueños,https://www.palomitacas.com/pelicula/ficha/p1117857,1117857,10.0,10.0,21 de noviembre - 2025,2025-11-21
Amor de ida y vuelta,https://www.palomitacas.com/pelicula/ficha/p451925,451925,6.0,6.0,16 de noviembre - 2025,2025-11-16
El secreto de los hermanos Grimm,https://www.palomitacas.com/pelicula/ficha/p4442,4442,9.0,9.0,15 de noviembre - 2025,2025-11-21
Cada día,https://www.palomitacas.com/pelicula/ficha/p465136,465136,5.0,5.0,15 de noviembre - 2025,2025-11-15
Mowgli: La leyenda de la selva,https://www.palomitacas.com/pelicula/ficha/p407436,407436,9.5,9.5,14 de noviembre - 2025,2025-11-15
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,9.0,9.0,12 de noviembre - 2025,2025-11-12
Paradise,https://www.palomitacas.com/pelicula/ficha/p1140066,1140066,6.5,6.5,09 de noviembre - 2025,2025-11-09
El mapa que me lleva a ti,https://www.palomitacas.com/pelicula/ficha/p1312946,1312946,6.5,6.5,08 de noviembre - 2025,2025-11-08
Rango,https://www.palomitacas.com/pelicula/ficha/p44896,44896,9.0,9.0,08 de noviembre - 2025,2025-11-08
عريس وعروستين,https://www.palomitacas.com/pelicula/ficha/p1446358,1446358,9.0,9.0,08 de noviembre - 2025,2025-11-08
Mechanic: Resurrection,https://www.palomitacas.com/pelicula/ficha/p278924,278924,8.0,8.0,02 de noviembre - 2025,2025-11-02
El fugitivo,https://www.palomitacas.com/pelicula/ficha/p5503,5503,8.0,8.0,01 de noviembre - 2025,2025-11-01
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,9.5,9.5,26 de octubre - 2025,2025-10-26
Cuatro Fantásticos,https://www.palomitacas.com/pelicula/ficha/p166424,166424,9.0,9.0,19 de octubre - 2025,2025-10-19
Se requiere mantenimiento,https://www.palomitacas.com/pelicula/ficha/p1352755,1352755,8.0,8.0,18 de octubre - 2025,2025-10-18
Los 4 fantásticos y Silver Surfer,https://www.palomitacas.com/pelicula/ficha/p1979,1979,10.0,10.0,18 de octubre - 2025,2025-10-18
Los 4 fantásticos,https://www.palomitacas.com/pelicula/ficha/p9738,9738,10.0,10.0,17 de octubre - 2025,2025-10-18
Regreso a la isla de Nim,https://www.palomitacas.com/pelicula/ficha/p172386,172386,6.5,6.5,14 de octubre - 2025,2025-10-14
Bajo un volcán,https://www.palomitacas.com/pelicula/ficha/p1310879,1310879,6.0,6.0,12 de octubre - 2025,2025-10-12
...Y que le gusten los perros,https://www.palomitacas.com/pelicula/ficha/p11648,11648,9.0,9.0,12 de octubre - 2025,2025-10-12
La isla de Nim,https://www.palomitacas.com/pelicula/ficha/p10488,10488,9.0,9.0,11 de octubre - 2025,2025-10-11
French Lover,https://www.palomitacas.com/pelicula/ficha/p1289888,1289888,8.5,8.5,05 de octubre - 2025,2025-10-05
Sketch. Cuidado con lo que dibujas,https://www.palomitacas.com/pelicula/ficha/p1319969,1319969,9.0,9.0,04 de octubre - 2025,2025-10-04
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,10.0,10.0,27 de septiembre - 2025,2025-09-27
Hasta que el cura nos separe,https://www.palomitacas.com/pelicula/ficha/p2959,2959,8.0,8.0,26 de septiembre - 2025,2025-09-26
27 vestidos,https://www.palomitacas.com/pelicula/ficha/p6557,6557,8.5,8.5,21 de septiembre - 2025,2025-09-21
Sin malos rollos,https://www.palomitacas.com/pelicula/ficha/p884605,884605,9.0,9.0,21 de septiembre - 2025,2025-09-21
"Dick y Jane, ladrones de risa",https://www.palomitacas.com/pelicula/ficha/p7552,7552,9.0,9.0,20 de septiembre - 2025,2025-09-20
Érase una vez en… Hollywood,https://www.palomitacas.com/pelicula/ficha/p466272,466272,4.0,4.0,20 de septiembre - 2025,2025-09-20
She Said Maybe,https://www.palomitacas.com/pelicula/ficha/p1509871,1509871,9.0,9.0,19 de septiembre - 2025,2025-09-19
Falsas apariencias,https://www.palomitacas.com/pelicula/ficha/p2069,2069,7.5,7.5,18 de septiembre - 2025,2025-09-18
The Wrong Paris,https://www.palomitacas.com/pelicula/ficha/p1321439,1321439,9.0,9.0,17 de septiembre - 2025,2025-09-17
Ne Zha 2,https://www.palomitacas.com/pelicula/ficha/p980477,980477,10.0,10.0,14 de septiembre - 2025,2025-09-21
Caerás,https://www.palomitacas.com/pelicula/ficha/p1300116,1300116,6.5,6.5,14 de septiembre - 2025,2025-09-15
Corte en el tiempo,https://www.palomitacas.com/pelicula/ficha/p827931,827931,6.5,6.5,13 de septiembre - 2025,2025-09-13
Ne Zha: El renacer de un dios,https://www.palomitacas.com/pelicula/ficha/p615453,615453,10.0,10.0,13 de septiembre - 2025,2025-09-13
Luna de miel con mamá,https://www.palomitacas.com/pelicula/ficha/p1361622,1361622,8.0,8.0,12 de septiembre - 2025,2025-09-14
El amor tiene dos caras,https://www.palomitacas.com/pelicula/ficha/p25189,25189,9.0,9.0,12 de septiembre - 2025,2025-09-12
Super Me,https://www.palomitacas.com/pelicula/ficha/p603768,603768,9.0,9.0,06 de septiembre - 2025,2025-09-06
Juntos y revueltos,https://www.palomitacas.com/pelicula/ficha/p232672,232672,7.5,7.5,31 de agosto - 2025,2025-08-31
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,8.0,8.0,30 de agosto - 2025,2025-08-30
La academia del Sr. Kleks,https://www.palomitacas.com/pelicula/ficha/p1026999,1026999,8.5,8.5,30 de agosto - 2025,2025-08-30
Cambio de bebés 2,https://www.palomitacas.com/pelicula/ficha/p1382511,1382511,7.5,7.5,27 de agosto - 2025,2025-08-27
La Torre Oscura,https://www.palomitacas.com/pelicula/ficha/p353491,353491,5.5,5.5,24 de agosto - 2025,2025-08-24
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,9.0,9.0,23 de agosto - 2025,2025-08-23
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,10.0,10.0,23 de agosto - 2025,2025-08-23
Metruk Adam,https://www.palomitacas.com/pelicula/ficha/p1495723,1495723,7.5,7.5,22 de agosto - 2025,2025-08-22
Amor con preaviso,https://www.palomitacas.com/pelicula/ficha/p2642,2642,7.5,7.5,19 de agosto - 2025,2025-08-19
Fabricante de lágrimas,https://www.palomitacas.com/pelicula/ficha/p1127166,1127166,7.0,7.0,18 de agosto - 2025,2025-08-18
Bailarina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,8.5,8.5,17 de agosto - 2025,2025-08-17
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,10.0,10.0,16 de agosto - 2025,2025-08-16
X-Men 2,https://www.palomitacas.com/pelicula/ficha/p36658,36658,7.5,7.5,16 de agosto - 2025,2025-08-22
X-Men: Primera Generación,https://www.palomitacas.com/pelicula/ficha/p49538,49538,9.0,9.0,16 de agosto - 2025,2025-08-29
X-Men: Fénix oscura,https://www.palomitacas.com/pelicula/ficha/p320288,320288,9.5,9.5,16 de agosto - 2025,2025-10-25
X-Men: Apocalipsis,https://www.palomitacas.com/pelicula/ficha/p246655,246655,10.0,10.0,16 de agosto - 2025,2025-10-24
Boomerang (El príncipe de las mujeres),https://www.palomitacas.com/pelicula/ficha/p11066,11066,8.5,8.5,16 de agosto - 2025,2025-09-13
X-Men,https://www.palomitacas.com/pelicula/ficha/p36657,36657,7.5,7.5,16 de agosto - 2025,2025-08-22
Muere otro día,https://www.palomitacas.com/pelicula/ficha/p36669,36669,,,,
X-Men: La decisión final,https://www.palomitacas.com/pelicula/ficha/p36668,36668,8.5,8.5,16 de agosto - 2025,2025-08-26
El atlas de las nubes,https://www.palomitacas.com/pelicula/ficha/p83542,83542,,,,
X-Men: Días del futuro pasado,https://www.palomitacas.com/pelicula/ficha/p127585,127585,9.0,9.0,16 de agosto - 2025,2025-10-24
Catwoman,https://www.palomitacas.com/pelicula/ficha/p314,314,9.0,9.0,16 de agosto - 2025,2025-08-16
La hija del rey,https://www.palomitacas.com/pelicula/ficha/p245842,245842,9.0,9.0,15 de agosto - 2025,2025-08-15
"10, la mujer perfecta",https://www.palomitacas.com/pelicula/ficha/p9051,9051,6.5,6.5,15 de agosto - 2025,2025-08-16
Jefe,https://www.palomitacas.com/pelicula/ficha/p517298,517298,6.0,6.0,14 de agosto - 2025,2025-08-14
Maniquí,https://www.palomitacas.com/pelicula/ficha/p10019,10019,8.5,8.5,13 de agosto - 2025,2025-08-13
Atrapa ese maniquí,https://www.palomitacas.com/pelicula/ficha/p34376,34376,7.5,7.5,13 de agosto - 2025,2025-08-14
Un sueño para ella,https://www.palomitacas.com/pelicula/ficha/p10735,10735,9.5,9.5,13 de agosto - 2025,2025-08-14
Quiero ser superfamosa,https://www.palomitacas.com/pelicula/ficha/p11132,11132,5.5,5.5,10 de agosto - 2025,2025-08-10
"Muévete, esto es Nueva York",https://www.palomitacas.com/pelicula/ficha/p11025,11025,9.0,9.0,09 de agosto - 2025,2025-08-09
Cambio de bebés,https://www.palomitacas.com/pelicula/ficha/p1079201,1079201,7.0,7.0,09 de agosto - 2025,2025-08-09
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,9.5,9.5,09 de agosto - 2025,2025-08-09
Busco novia,https://www.palomitacas.com/pelicula/ficha/p904668,904668,6.0,6.0,08 de agosto - 2025,2025-08-08
Lars y una chica de verdad,https://www.palomitacas.com/pelicula/ficha/p6615,6615,5.0,5.0,07 de agosto - 2025,2025-08-07
No se aceptan devoluciones,https://www.palomitacas.com/pelicula/ficha/p211954,211954,9.0,9.0,07 de agosto - 2025,2025-08-07
Seis días y siete noches,https://www.palomitacas.com/pelicula/ficha/p6068,6068,7.5,7.5,06 de agosto - 2025,2025-08-06
Regreso al lago azul,https://www.palomitacas.com/pelicula/ficha/p13888,13888,8.0,8.0,04 de agosto - 2025,2025-08-06
El lago azul,https://www.palomitacas.com/pelicula/ficha/p5689,5689,10.0,10.0,04 de agosto - 2025,2025-08-04
Little Nicky,https://www.palomitacas.com/pelicula/ficha/p9678,9678,4.5,4.5,04 de agosto - 2025,2025-08-04
Relaciones cruzadas,https://www.palomitacas.com/pelicula/ficha/p102408,102408,3.5,3.5,04 de agosto - 2025,2025-08-04
También esto pasará,https://www.palomitacas.com/pelicula/ficha/p1307516,1307516,4.0,4.0,03 de agosto - 2025,2025-08-03
El lago azul: El despertar,https://www.palomitacas.com/pelicula/ficha/p115290,115290,8.5,8.5,02 de agosto - 2025,2025-08-02
Stealth: La amenaza invisible,https://www.palomitacas.com/pelicula/ficha/p10048,10048,6.5,6.5,02 de agosto - 2025,2025-08-02
My Oxford Year,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,8.0,8.0,02 de agosto - 2025,2025-08-02
Bocados de realidad,https://www.palomitacas.com/pelicula/ficha/p2788,2788,3.5,3.5,01 de agosto - 2025,2025-08-01
Mi vida es una ruina,https://www.palomitacas.com/pelicula/ficha/p13243,13243,4.5,4.5,31 de julio - 2025,2025-08-01
¿Venís juntos?,https://www.palomitacas.com/pelicula/ficha/p180296,180296,6.0,6.0,30 de julio - 2025,2025-07-31
Estafadores,https://www.palomitacas.com/pelicula/ficha/p509874,509874,5.5,5.5,29 de julio - 2025,2025-07-30
Mientras seamos jóvenes,https://www.palomitacas.com/pelicula/ficha/p252512,252512,4.5,4.5,29 de julio - 2025,2025-07-29
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,6.0,6.0,29 de julio - 2025,2025-07-29
Dulce y amargo,https://www.palomitacas.com/pelicula/ficha/p662237,662237,6.5,6.5,28 de julio - 2025,2025-07-28
Enola Holmes 2,https://www.palomitacas.com/pelicula/ficha/p829280,829280,8.0,8.0,28 de julio - 2025,2025-07-28
Náufrago,https://www.palomitacas.com/pelicula/ficha/p8358,8358,9.0,9.0,27 de julio - 2025,2025-07-27
El desafío (The Walk),https://www.palomitacas.com/pelicula/ficha/p285783,285783,10.0,10.0,26 de julio - 2025,2025-07-26
Zathura: Una aventura espacial,https://www.palomitacas.com/pelicula/ficha/p6795,6795,6.5,6.5,26 de julio - 2025,2025-07-26
Avalon High,https://www.palomitacas.com/pelicula/ficha/p50479,50479,6.0,6.0,24 de julio - 2025,2025-07-25
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,9.0,9.0,23 de julio - 2025,2025-07-23
El reino mágico,https://www.palomitacas.com/pelicula/ficha/p576784,576784,8.5,8.5,23 de julio - 2025,2025-07-23
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,8.5,8.5,20 de julio - 2025,2025-07-20
Amor y otras drogas,https://www.palomitacas.com/pelicula/ficha/p43347,43347,8.0,8.0,20 de julio - 2025,2025-07-20
A pesar de todo,https://www.palomitacas.com/pelicula/ficha/p588001,588001,8.5,8.5,20 de julio - 2025,2025-07-20
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,10.0,10.0,20 de julio - 2025,2025-07-20
Sevillanas de Brooklyn,https://www.palomitacas.com/pelicula/ficha/p793158,793158,7.5,7.5,18 de julio - 2025,2025-07-18
Forrest Gump,https://www.palomitacas.com/pelicula/ficha/p13,13,10.0,10.0,13 de julio - 2025,2025-07-13
Enola Holmes,https://www.palomitacas.com/pelicula/ficha/p497582,497582,8.0,8.0,13 de julio - 2025,2025-07-13
Dora en busca del Sol Dorado,https://www.palomitacas.com/pelicula/ficha/p1287536,1287536,8.5,8.5,12 de julio - 2025,2025-08-03
Dora y la ciudad perdida,https://www.palomitacas.com/pelicula/ficha/p499701,499701,10.0,10.0,12 de julio - 2025,2025-07-12
Una mente maravillosa,https://www.palomitacas.com/pelicula/ficha/p453,453,4.0,4.0,05 de julio - 2025,2025-07-05
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,9.0,9.0,05 de julio - 2025,2025-07-06
Una aventura en Marruecos,https://www.palomitacas.com/pelicula/ficha/p959429,959429,7.0,7.0,05 de julio - 2025,2025-07-05
Flipped,https://www.palomitacas.com/pelicula/ficha/p43949,43949,9.0,9.0,04 de julio - 2025,2025-07-04
En el filo de las olas 2,https://www.palomitacas.com/pelicula/ficha/p58443,58443,9.0,9.0,03 de julio - 2025,2025-07-03
El chico de tu vida,https://www.palomitacas.com/pelicula/ficha/p13476,13476,7.5,7.5,30 de junio - 2025,2025-07-02
Un sueño posible,https://www.palomitacas.com/pelicula/ficha/p22881,22881,9.0,9.0,29 de junio - 2025,2025-06-30
Nuestros tiempos,https://www.palomitacas.com/pelicula/ficha/p1426680,1426680,3.5,3.5,29 de junio - 2025,2025-06-29
Tres metros sobre el cielo,https://www.palomitacas.com/pelicula/ficha/p61979,61979,5.0,5.0,29 de junio - 2025,2025-06-29
Infierno azul,https://www.palomitacas.com/pelicula/ficha/p332567,332567,9.5,9.5,29 de junio - 2025,2025-06-29
La viuda negra,https://www.palomitacas.com/pelicula/ficha/p1397832,1397832,6.5,6.5,28 de junio - 2025,2025-06-28
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,8.5,8.5,28 de junio - 2025,2025-06-28
En el filo de las olas,https://www.palomitacas.com/pelicula/ficha/p9266,9266,7.0,7.0,28 de junio - 2025,2025-06-28
(500) días juntos,https://www.palomitacas.com/pelicula/ficha/p19913,19913,8.5,8.5,25 de junio - 2025,2025-06-25
Intrusión,https://www.palomitacas.com/pelicula/ficha/p785752,785752,8.0,8.0,22 de junio - 2025,2025-06-22
Pluto Nash,https://www.palomitacas.com/pelicula/ficha/p11692,11692,8.5,8.5,22 de junio - 2025,2025-06-22
Semi-Soeter,https://www.palomitacas.com/pelicula/ficha/p1428264,1428264,6.5,6.5,21 de junio - 2025,2025-06-21
Sin frenos,https://www.palomitacas.com/pelicula/ficha/p49526,49526,10.0,10.0,21 de junio - 2025,2025-06-21
Una estafa celestial,https://www.palomitacas.com/pelicula/ficha/p717693,717693,4.5,4.5,20 de junio - 2025,2025-06-20
"Cariño, he agrandado al niño",https://www.palomitacas.com/pelicula/ficha/p11158,11158,7.0,7.0,17 de junio - 2025,2025-06-17
Miss Agente Especial,https://www.palomitacas.com/pelicula/ficha/p1493,1493,9.0,9.0,15 de junio - 2025,2025-06-15
Di que sí,https://www.palomitacas.com/pelicula/ficha/p10201,10201,9.0,9.0,14 de junio - 2025,2025-06-14
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,9.0,9.0,14 de junio - 2025,2025-06-14
El profesor chiflado,https://www.palomitacas.com/pelicula/ficha/p9327,9327,9.0,9.0,14 de junio - 2025,2025-06-14
17 otra vez,https://www.palomitacas.com/pelicula/ficha/p16996,16996,8.0,8.0,13 de junio - 2025,2025-06-13
"Cariño, nos hemos encogido a nosotros mismos",https://www.palomitacas.com/pelicula/ficha/p11425,11425,9.0,9.0,08 de junio - 2025,2025-06-16
"Cariño, he encogido a los niños",https://www.palomitacas.com/pelicula/ficha/p9354,9354,10.0,10.0,08 de junio - 2025,2025-06-08
El mejor día del año,https://www.palomitacas.com/pelicula/ficha/p370729,370729,5.0,5.0,08 de junio - 2025,2025-06-19
Harold y el lápiz mágico,https://www.palomitacas.com/pelicula/ficha/p826510,826510,9.5,9.5,07 de junio - 2025,2025-06-08
Jexi,https://www.palomitacas.com/pelicula/ficha/p620725,620725,8.0,8.0,07 de junio - 2025,2025-06-07
Ferdinand,https://www.palomitacas.com/pelicula/ficha/p364689,364689,10.0,10.0,06 de junio - 2025,2025-06-07
Otro pequeño favor,https://www.palomitacas.com/pelicula/ficha/p974573,974573,7.5,7.5,05 de junio - 2025,2025-06-05
Espías con disfraz,https://www.palomitacas.com/pelicula/ficha/p431693,431693,10.0,10.0,04 de junio - 2025,2025-06-05
Epic: El mundo secreto,https://www.palomitacas.com/pelicula/ficha/p116711,116711,10.0,10.0,01 de junio - 2025,2025-06-05
Freejack (Sin identidad),https://www.palomitacas.com/pelicula/ficha/p9278,9278,8.0,8.0,01 de junio - 2025,2025-06-02
Cazadores de leyendas,https://www.palomitacas.com/pelicula/ficha/p231474,231474,4.0,4.0,01 de junio - 2025,2025-06-01
The Holiday (Vacaciones),https://www.palomitacas.com/pelicula/ficha/p1581,1581,9.5,9.5,01 de junio - 2025,2025-06-01
La bruma,https://www.palomitacas.com/pelicula/ficha/p477489,477489,7.5,7.5,31 de mayo - 2025,2025-05-31
300: El origen de un imperio,https://www.palomitacas.com/pelicula/ficha/p53182,53182,9.5,9.5,28 de mayo - 2025,2025-05-28
Casi 300,https://www.palomitacas.com/pelicula/ficha/p7278,7278,8.0,8.0,28 de mayo - 2025,2025-05-29
300,https://www.palomitacas.com/pelicula/ficha/p1271,1271,9.0,9.0,26 de mayo - 2025,2025-05-28
El curioso caso de Benjamin Button,https://www.palomitacas.com/pelicula/ficha/p4922,4922,10.0,10.0,25 de mayo - 2025,2025-05-25
Una historia de amor en Copenhague,https://www.palomitacas.com/pelicula/ficha/p1426674,1426674,7.0,7.0,25 de mayo - 2025,2025-05-25
Un pliegue en el tiempo,https://www.palomitacas.com/pelicula/ficha/p407451,407451,9.5,9.5,25 de mayo - 2025,2025-05-25
El Rey de Reyes,https://www.palomitacas.com/pelicula/ficha/p1181107,1181107,10.0,10.0,24 de mayo - 2025,2025-05-24
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,9.0,9.0,24 de mayo - 2025,2025-05-24
Mala influencia,https://www.palomitacas.com/pelicula/ficha/p1323784,1323784,6.5,6.5,23 de mayo - 2025,2025-05-23
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,9.0,9.0,23 de mayo - 2025,2025-05-23
Dragones y Mazmorras,https://www.palomitacas.com/pelicula/ficha/p11849,11849,6.0,6.0,22 de mayo - 2025,2025-05-22
Ladronas,https://www.palomitacas.com/pelicula/ficha/p1010928,1010928,6.0,6.0,22 de mayo - 2025,2025-05-26
El misterio del dragón,https://www.palomitacas.com/pelicula/ficha/p428045,428045,8.0,8.0,18 de mayo - 2025,2025-05-20
Enredados,https://www.palomitacas.com/pelicula/ficha/p38757,38757,10.0,10.0,11 de mayo - 2025,2025-05-11
Dos por el precio de una,https://www.palomitacas.com/pelicula/ficha/p33689,33689,8.5,8.5,11 de mayo - 2025,2025-05-11
Matrimonio compulsivo,https://www.palomitacas.com/pelicula/ficha/p9038,9038,7.5,7.5,10 de mayo - 2025,2025-05-10
Los sustitutos,https://www.palomitacas.com/pelicula/ficha/p19959,19959,8.0,8.0,04 de mayo - 2025,2025-05-04
Código oculto (Branded),https://www.palomitacas.com/pelicula/ficha/p112090,112090,4.5,4.5,04 de mayo - 2025,2025-05-04
Beyond White Space,https://www.palomitacas.com/pelicula/ficha/p560704,560704,6.0,6.0,03 de mayo - 2025,2025-05-04
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,4.0,4.0,03 de mayo - 2025,2025-05-03
Robin Hood,https://www.palomitacas.com/pelicula/ficha/p20662,20662,8.5,8.5,27 de abril - 2025,2025-05-01
Color Out of Space,https://www.palomitacas.com/pelicula/ficha/p548473,548473,4.5,4.5,27 de abril - 2025,2025-04-27
Sin instrucciones,https://www.palomitacas.com/pelicula/ficha/p1238200,1238200,8.5,8.5,26 de abril - 2025,2025-04-26
MANAMEY,https://www.palomitacas.com/pelicula/ficha/p1095889,1095889,9.0,9.0,26 de abril - 2025,2025-04-26
Mundo doble,https://www.palomitacas.com/pelicula/ficha/p611395,611395,7.5,7.5,24 de abril - 2025,2025-04-27
Immortals,https://www.palomitacas.com/pelicula/ficha/p37958,37958,9.5,9.5,24 de abril - 2025,2025-04-24
Corazón de tinta,https://www.palomitacas.com/pelicula/ficha/p2309,2309,6.5,6.5,21 de abril - 2025,2025-04-21
En las profundidades del Sena,https://www.palomitacas.com/pelicula/ficha/p1001311,1001311,6.5,6.5,19 de abril - 2025,2025-05-25
El Guau,https://www.palomitacas.com/pelicula/ficha/p1044043,1044043,6.5,6.5,19 de abril - 2025,2025-04-19
Instintos ocultos,https://www.palomitacas.com/pelicula/ficha/p597890,597890,9.0,9.0,13 de abril - 2025,2025-04-13
Promesas Del Corazón,https://www.palomitacas.com/pelicula/ficha/p1261555,1261555,8.0,8.0,13 de abril - 2025,2025-04-13
2036 Origen desconocido,https://www.palomitacas.com/pelicula/ficha/p448916,448916,5.0,5.0,12 de abril - 2025,2025-04-12
El sexto día,https://www.palomitacas.com/pelicula/ficha/p8452,8452,5.5,5.5,11 de abril - 2025,2025-04-12
Lo mejor del mundo,https://www.palomitacas.com/pelicula/ficha/p1446943,1446943,6.5,6.5,11 de abril - 2025,2025-04-11
Andron,https://www.palomitacas.com/pelicula/ficha/p395883,395883,6.0,6.0,11 de abril - 2025,2025-04-11
Chernovik,https://www.palomitacas.com/pelicula/ficha/p495601,495601,6.0,6.0,09 de abril - 2025,2025-04-09
El quinto elemento,https://www.palomitacas.com/pelicula/ficha/p18,18,10.0,10.0,05 de abril - 2025,2025-04-05
Tren a mi destino,https://www.palomitacas.com/pelicula/ficha/p682426,682426,7.5,7.5,04 de abril - 2025,2025-04-04
Acoso,https://www.palomitacas.com/pelicula/ficha/p8984,8984,8.5,8.5,30 de marzo - 2025,2025-03-30
Vicky Cristina Barcelona,https://www.palomitacas.com/pelicula/ficha/p5038,5038,9.0,9.0,29 de marzo - 2025,2025-03-29
The Life List,https://www.palomitacas.com/pelicula/ficha/p1254786,1254786,7.5,7.5,29 de marzo - 2025,2025-03-29
Colombiana,https://www.palomitacas.com/pelicula/ficha/p62835,62835,10.0,10.0,23 de marzo - 2025,2025-03-23
Spider-Man: Lejos de casa,https://www.palomitacas.com/pelicula/ficha/p429617,429617,9.5,9.5,22 de marzo - 2025,2025-03-22
"Hola, adiós y todo lo que pasó",https://www.palomitacas.com/pelicula/ficha/p745376,745376,6.0,6.0,22 de marzo - 2025,2025-03-22
Nowhere,https://www.palomitacas.com/pelicula/ficha/p1151534,1151534,10.0,10.0,18 de marzo - 2025,2025-03-18
